advertiser_id,event_type,magnitude,day,text
18,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
20,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
21,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
21,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
22,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
22,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
22,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
24,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
24,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
25,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
25,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
26,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
26,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
27,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
27,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
28,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
28,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
28,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
29,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
30,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
31,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
31,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
32,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
33,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
33,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
34,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
34,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
34,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
35,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
35,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
37,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
37,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
38,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
38,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
39,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
39,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
39,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
40,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
40,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
41,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
41,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
41,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
42,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
42,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
43,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
43,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
43,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
45,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
45,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
45,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
46,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
46,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
47,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
47,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
48,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
48,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
48,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
49,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
49,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
50,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
50,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
50,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
51,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
51,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
51,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
52,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
53,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
54,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
54,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
55,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
55,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
56,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
56,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
57,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
57,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
58,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
58,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
58,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
59,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
59,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
59,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
60,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
60,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
61,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
61,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
61,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
62,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
62,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
63,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
63,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
64,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
64,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
65,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
66,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
66,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
66,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
67,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
67,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
68,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
68,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
69,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
70,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
70,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
71,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
71,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
72,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
72,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
72,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
73,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
73,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
74,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
75,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
75,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
76,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
76,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
76,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
77,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
78,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
78,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
79,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
79,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
80,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
80,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
81,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
81,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
81,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
82,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
82,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
83,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
84,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
84,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
84,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
85,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
85,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
85,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
86,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
87,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
87,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
88,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
88,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
89,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
89,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
90,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
90,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
90,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
91,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
91,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
91,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
93,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
93,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
93,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
94,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
95,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
95,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
96,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
96,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
97,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
97,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
98,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
98,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
99,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
99,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
100,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
100,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
100,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
101,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
102,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
102,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
103,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
103,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
104,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
104,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
105,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
106,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
106,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
107,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
107,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
108,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
108,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
108,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
109,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
109,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
109,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
110,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
110,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
111,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
111,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
112,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
113,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
113,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
113,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
114,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
115,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
115,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
116,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
117,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
117,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
118,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
118,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
118,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
119,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
120,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
121,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
121,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
121,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
122,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
122,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
123,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
123,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
124,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
124,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
124,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
125,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
125,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
126,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
126,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
127,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
127,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
127,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
128,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
128,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
129,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
129,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
130,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
130,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
130,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
131,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
131,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
131,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
132,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
132,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
133,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
134,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
134,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
134,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
135,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
135,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
135,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
136,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
136,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
137,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
137,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
138,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
139,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
139,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
140,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
141,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
141,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
142,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
143,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
143,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
144,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
144,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
144,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
145,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
145,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
146,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
146,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
147,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
147,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
148,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
149,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
149,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
149,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
150,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
150,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
151,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
151,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
152,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
152,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
152,change_creative,0.15,3,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
153,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
153,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
153,change_creative,0.15,2,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
154,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
154,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
154,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
155,raise_bid,0.1,1,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
155,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
157,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
157,raise_bid,0.1,4,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
158,raise_budget,0.2,2,[提升日预算] 这周预算加了，多投一些，幅度约20%
158,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
159,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
159,raise_bid,0.1,3,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
159,change_creative,0.15,4,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
160,raise_budget,0.2,4,[提升日预算] 这周预算加了，多投一些，幅度约20%
160,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
161,raise_budget,0.2,3,[提升日预算] 这周预算加了，多投一些，幅度约20%
161,raise_bid,0.1,2,[调高出价] 竞争太激烈，把出价往上调了，幅度约10%
161,change_creative,0.15,1,[更换素材] 旧素材点击率太低，换了新文案，幅度约15%
162,raise_budget,0.2,1,[提升日预算] 这周预算加了，多投一些，幅度约20%
