advertiser_id,pre_spend,pre_conversions,pre_ctr,budget,quality,category,tier_S,tier_L,y_click_next
104,44.035555846057065,5,0.027960500497879747,200.0,0.7337940206373744,0,1,0,1
105,101.576880221837,8,0.02342635064492806,200.0,0.8479146081514536,1,1,0,1
106,81.47513466003102,7,0.03607628687366389,2500.0,0.969281334189208,2,0,1,1
107,146.7930028562016,18,0.0808191929250383,200.0,0.7350413258773402,3,1,0,1
108,110.18653158024036,10,0.05880099715542573,2500.0,0.8682645320677552,4,0,1,1
109,893.3971087470554,112,0.06095654429251779,2500.0,0.8156738943159986,5,0,1,1
110,346.81423206773366,40,0.04024536269371838,800.0,0.6525952355142537,6,0,0,1
111,346.21620469417684,33,0.06752139450243402,2500.0,0.7874179246467153,7,0,1,1
112,14.359999749342519,5,0.052776879839055824,200.0,0.9825304291007503,0,1,0,1
113,66.26852429405092,10,0.032222957499993654,200.0,0.79234494273566,1,1,0,1
114,52.05237616887127,3,0.04160141855589089,800.0,0.8633325264410754,2,0,0,1
115,145.39431130731055,19,0.0547017042240615,200.0,0.9023491337128937,3,1,0,1
116,11.575330585307501,3,0.07406940800413374,200.0,0.7152838072787272,4,1,0,1
117,259.0571804078997,22,0.04949430324457916,200.0,0.9503893136335645,5,1,0,1
118,235.16443193102228,32,0.060661195912712185,200.0,0.9829009021852795,6,1,0,0
119,27.88631948632102,4,0.09105702642820805,2500.0,0.9941376221080938,7,0,1,0
120,37.31167663742712,3,0.034692871784249776,800.0,0.960141421514118,0,0,0,1
121,43.769848516412324,5,0.02585652123082298,800.0,0.7475691569485818,1,0,0,0
122,93.59400293791977,13,0.07033924787082932,800.0,0.7330501908186875,2,0,0,0
123,160.2722542478677,29,0.0594427052731366,200.0,0.7091326142068302,3,1,0,1
124,568.5546563019229,87,0.048715985417319974,200.0,0.694516410107132,4,1,0,1
125,75.36169432534052,5,0.0559640158966242,200.0,0.707825097775067,5,1,0,0
126,179.60361846372123,24,0.04409508915992422,200.0,0.9214791232290432,6,1,0,1
127,103.5315118881486,20,0.06100842114899369,200.0,0.977716704559475,7,1,0,0
128,438.75170267681716,52,0.04397546433090109,200.0,0.7261547671530019,0,1,0,1
129,175.5531902071436,20,0.06669327405400431,200.0,0.8996798332870504,1,1,0,1
130,308.49184412104154,35,0.027284929190532846,200.0,0.6513045137570652,2,1,0,1
131,34.1271183986629,7,0.03436691100761869,200.0,0.7635534557072526,3,1,0,1
132,75.71553517201914,11,0.05303071059986496,200.0,0.6833599805707997,4,1,0,1
133,43.27628612094846,6,0.041309479572691654,200.0,0.6076033171400158,5,1,0,1
134,348.78394565402203,36,0.06462192851976521,200.0,0.8087767356445199,6,1,0,1
135,162.6947772854573,17,0.049870478097259696,200.0,0.8115852236625481,7,1,0,1
136,68.39980794481602,12,0.03987268213831219,800.0,0.7533844608672737,0,0,0,1
137,59.90613386530046,5,0.05491930627781059,200.0,0.7394377104445147,1,1,0,0
138,139.239906353166,12,0.04017069319460038,200.0,0.6839855344589356,2,1,0,0
139,47.87790013212455,4,0.019583410414119012,800.0,0.786006030748857,3,0,0,0
140,38.95744947493791,10,0.028020645385064286,200.0,0.7299073531786826,4,1,0,1
141,138.81568458819154,16,0.03471764141398078,200.0,0.830517737932451,5,1,0,1
142,826.1850904731801,107,0.041357931272065,200.0,0.6572892519588281,6,1,0,0
143,72.13070361903745,7,0.052722137630225825,200.0,0.8287601374108369,7,1,0,0
144,54.58290820934304,8,0.06899977283838293,800.0,0.8627205323274358,0,0,0,0
145,31.373351347466006,1,0.06182686699860874,800.0,0.9502870857753162,1,0,0,1
146,27.071733471319714,1,0.08641236525510182,200.0,0.9272361080347276,2,1,0,0
147,144.3852264191217,18,0.07632180031894704,800.0,0.824173329426741,3,0,0,1
148,193.58616867592926,24,0.04706858836799569,2500.0,0.7194903832585294,4,0,1,1
149,90.76350239456114,9,0.08387180145379053,200.0,0.5819782824162592,5,1,0,1
150,121.42762299979077,13,0.07448398627545262,200.0,0.8003230230969297,6,1,0,0
151,99.91550909051713,11,0.041805174079100525,200.0,0.9704910117542276,7,1,0,1
152,101.98128962841777,13,0.05710880997933051,2500.0,0.9998073330049667,0,0,1,1
153,22.793077072344868,3,0.07277765454771787,800.0,0.4964826995286063,1,0,0,1
154,59.60226366197691,8,0.05573252144249249,200.0,0.7103264110558547,2,1,0,0
155,99.51728790200055,17,0.0712288751873262,200.0,0.7589553472550007,3,1,0,0
156,44.48490408136636,4,0.05881952356788252,200.0,0.6761711610170987,4,1,0,1
157,58.62804879968749,6,0.06498601670971167,2500.0,0.8232550060452948,5,0,1,0
158,43.06849854735408,5,0.044555946167027204,200.0,0.8055195505388708,6,1,0,0
159,66.67652841876595,8,0.05850504047651473,200.0,0.7388927771270957,7,1,0,0
160,193.9882221964147,20,0.043652858691098535,800.0,0.79655540114567,0,0,0,1
161,62.43198251712337,13,0.06445215539046933,200.0,0.6099693310014277,1,1,0,0
162,78.37589260773161,9,0.01715878968213669,200.0,0.6843491254203499,2,1,0,0
163,187.2316318813699,15,0.05763473533418817,200.0,0.6934048683833837,3,1,0,1
164,160.82120062568663,20,0.07594656352295262,200.0,0.908345359385725,4,1,0,1
165,413.9258299494299,54,0.06254896450980404,200.0,0.6057003135886542,5,1,0,1
166,13.71600541896768,0,0.050432773296167785,200.0,0.7752256348558894,6,1,0,0
167,194.64415591892126,27,0.06172298093905754,800.0,0.894037333873328,7,0,0,1
168,58.31995533878407,4,0.034031043019452124,800.0,0.7942479071078926,0,0,0,1
169,101.61819837166969,15,0.03431387147424068,200.0,0.8980193484239267,1,1,0,1
170,191.32000527986992,23,0.04376632738892429,200.0,0.7224621924597078,2,1,0,1
171,238.63324656344858,32,0.047986919912948234,800.0,0.8529481779906256,3,0,0,1
172,229.3881670692614,31,0.0702637416504041,800.0,0.9091618017980241,4,0,0,0
173,103.5025263897614,13,0.03306000895734672,800.0,1.0,5,0,0,1
174,383.25340977683555,44,0.07095554225530522,200.0,0.8880589690413045,6,1,0,0
175,69.77830853563594,12,0.0194833115491756,800.0,0.9721136144516602,7,0,0,0
176,79.29033785160266,12,0.0351991444595368,200.0,0.8023365916943381,0,1,0,0
177,184.82622697620445,27,0.05020184583497357,200.0,0.8128521715366155,1,1,0,1
178,54.80409036237406,10,0.07409110320461194,200.0,0.9892878709731996,2,1,0,1
179,629.4306199223893,94,0.038662190371521285,800.0,0.8711514557281057,3,0,0,1
180,225.26689716123286,23,0.00806292258104792,800.0,0.9714323577069539,4,0,0,1
181,637.7955582374798,77,0.05933274748775894,800.0,0.886490889051604,5,0,0,1
182,87.8885673153145,9,0.05035070242161748,200.0,1.0,6,1,0,1
183,63.76601095655827,5,0.029287513598910807,200.0,1.0,7,1,0,1
184,104.62088550824015,12,0.030052932537055745,200.0,0.70137273781644,0,1,0,1
185,174.35942896764234,17,0.0370160608378892,200.0,1.0,1,1,0,1
186,53.05425566945345,6,0.05289249463341193,800.0,0.8540108306979022,2,0,0,1
187,126.68853226193472,10,0.06419603888616937,200.0,0.8592413145349092,3,1,0,1
188,88.66596876145918,13,0.021357861711025664,2500.0,0.7882929753975415,4,0,1,1
189,385.3351921683173,54,0.09670023932435187,2500.0,0.8884717313424055,5,0,1,1
190,49.57905017143179,3,0.05016404240156241,200.0,0.6689970571958944,6,1,0,0
191,230.79862903404688,19,0.043460913538071605,200.0,0.7152489811462253,7,1,0,0
192,50.42680192790468,6,0.0643729220481249,2500.0,0.7108495690665736,0,0,1,0
193,37.91812485748603,5,0.05309031169262389,800.0,0.8374235061853134,1,0,0,1
194,47.50003820527918,2,0.09763574412045387,800.0,0.913337163212983,2,0,0,1
195,30.84062222322567,3,0.07282992852554743,800.0,0.8913194639823954,3,0,0,0
196,102.69005985284323,16,0.04353444245965908,200.0,0.847237238817159,4,1,0,1
197,227.72407904550911,33,0.04309027245209651,800.0,0.7320038580769486,5,0,0,1
198,104.3638541290457,11,0.040938722986289915,800.0,0.5920061332493136,6,0,0,1
199,157.88905470475652,22,0.04406272477831982,200.0,0.8517121067622833,7,1,0,1
